Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
22,3,3,2,179,22,17,40,244387,98,0,2,2,0,1,0,63,170,22,8
22,3,3,2,378,49,11,36,244387,98,0,1,2,0,1,4,65,174,21,8
22,3,4,2,361,52,3,28,244387,98,0,1,1,1,0,4,80,172,27,8
21,3,5,2,235,11,14,37,244387,98,0,3,1,0,0,1,88,172,29,8
23,3,6,3,118,13,18,50,244387,98,0,1,1,1,0,0,98,178,31,2
13,3,4,3,118,13,18,50,244387,98,0,1,1,1,0,0,98,178,31,8
28,3,6,3,179,51,18,38,244387,98,0,1,0,1,0,0,89,170,31,8
22,3,6,3,289,36,13,33,244387,98,0,1,2,1,0,1,90,172,30,8
19,3,2,3,260,50,11,36,244387,98,0,1,4,1,0,0,65,168,23,8
28,3,3,3,246,25,16,41,244387,98,0,1,0,1,0,0,67,170,23,2
23,4,4,3,330,16,4,28,239409,98,0,2,0,0,0,0,84,182,25,8
28,4,4,3,179,51,18,38,239409,98,0,1,0,1,0,0,89,170,31,8
28,4,6,3,300,26,13,43,239409,98,0,1,2,1,1,1,77,175,25,8
11,4,4,3,118,10,10,37,239409,98,0,1,0,0,0,0,83,172,28,2
23,5,4,3,248,25,14,47,246074,99,0,1,2,0,0,1,86,165,32,2
10,5,2,3,369,17,12,31,246074,99,0,1,3,1,0,0,70,169,25,8
11,5,2,3,179,22,17,40,246074,99,0,2,2,0,1,0,63,170,22,2
18,5,4,3,228,14,16,58,246074,99,0,1,2,0,0,1,65,172,22,8
13,5,6,3,330,16,4,28,246074,99,0,2,0,0,0,0,84,182,25,8
25,5,2,3,179,26,9,30,246074,99,0,3,0,0,0,0,56,171,19,2
1,5,2,3,235,11,14,37,246074,99,0,3,1,0,0,1,88,172,29,8
28,6,3,3,118,10,10,37,253957,95,0,1,0,0,0,0,83,172,28,2
26,6,3,3,235,20,13,43,253957,95,0,1,1,1,0,0,106,167,38,8
28,6,2,1,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,2
23,6,4,1,225,26,9,28,253957,95,0,1,1,0,0,2,69,169,24,2
23,6,4,1,118,13,18,50,253957,95,0,1,1,1,0,0,98,178,31,2
5,6,4,1,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,8
21,6,4,1,179,26,9,30,253957,95,0,3,0,0,0,0,56,171,19,2
28,6,6,1,246,25,16,41,253957,95,0,1,0,1,0,0,67,170,23,2
13,6,3,1,235,11,14,37,253957,95,0,3,1,0,0,1,88,172,29,8
23,7,5,1,179,26,9,30,230290,92,0,3,0,0,0,0,56,171,19,2
13,7,6,1,260,50,11,36,230290,92,0,1,4,1,0,0,65,168,23,8
7,7,2,1,268,11,8,33,230290,92,0,2,0,0,0,0,79,178,25,8
25,7,6,1,330,16,4,28,230290,92,0,2,0,0,0,0,84,182,25,8
26,7,6,1,118,10,10,37,230290,92,0,1,0,0,0,0,83,172,28,8
28,7,3,1,118,10,10,37,230290,92,0,1,0,0,0,0,83,172,28,8
15,7,2,1,300,26,13,43,230290,92,0,1,2,1,1,1,77,175,25,8
28,7,3,1,246,25,16,41,230290,92,0,1,0,1,0,0,67,170,23,2
22,7,6,1,361,52,3,28,230290,92,0,1,1,1,0,4,80,172,27,8
22,7,2,1,289,36,13,33,230290,92,0,1,2,1,0,1,90,172,30,8
26,7,2,1,235,20,13,43,230290,92,0,1,1,1,0,0,106,167,38,8
28,7,3,1,246,25,16,41,230290,92,0,1,0,1,0,0,67,170,23,2
23,7,5,1,279,5,14,39,230290,92,0,1,2,1,1,0,68,168,24,2
26,8,3,1,289,36,13,33,249797,93,0,1,2,1,0,1,90,172,30,8
26,8,3,1,235,20,13,43,249797,93,0,1,1,1,0,0,106,167,38,8
25,8,3,1,179,22,17,40,249797,93,0,2,2,0,1,0,63,170,22,8
28,8,5,1,291,31,12,40,249797,93,0,1,1,1,0,1,73,171,25,2
23,9,3,1,155,12,14,34,261756,87,0,1,2,1,0,0,95,196,25,2
28,9,5,1,291,31,12,40,261756,87,0,1,1,1,0,1,73,171,25,2
23,9,6,1,179,26,9,30,261756,87,0,3,0,0,0,0,56,171,19,8
23,9,2,1,179,26,9,30,261756,87,0,3,0,0,0,0,56,171,19,2
23,9,3,4,369,17,12,31,261756,87,0,1,3,1,0,0,70,169,25,8
22,9,3,4,361,52,3,28,261756,87,0,1,1,1,0,4,80,172,27,8
26,10,6,4,246,25,16,41,284853,91,0,1,0,1,0,0,67,170,23,8
28,10,4,4,291,31,12,40,284853,91,0,1,1,1,0,1,73,171,25,2
23,10,3,4,118,10,10,37,284853,91,0,1,0,0,0,0,83,172,28,2
23,10,5,4,289,48,29,49,284853,91,0,1,0,0,0,2,108,172,36,2
23,10,3,4,225,26,9,28,284853,91,0,1,1,0,0,2,69,169,24,2
23,10,3,4,369,17,12,31,284853,91,0,1,3,1,0,0,70,169,25,8
26,10,3,4,369,17,12,31,284853,91,0,1,3,1,0,0,70,169,25,8
10,10,5,4,369,17,12,31,284853,91,0,1,3,1,0,0,70,169,25,8
10,10,6,4,369,17,12,31,284853,91,0,1,3,1,0,0,70,169,25,8
23,10,2,4,189,29,13,33,284853,91,0,1,2,0,0,2,69,167,25,8
6,10,2,4,235,16,8,32,284853,91,0,3,0,0,0,0,75,178,25,8
10,10,2,4,248,25,14,47,284853,91,0,1,2,0,0,1,86,165,32,8
9,11,3,4,118,10,10,37,268519,93,0,1,0,0,0,0,83,172,28,8
24,11,4,4,289,36,13,33,268519,93,0,1,2,1,0,1,90,172,30,8
1,11,6,4,235,16,8,32,268519,93,0,3,0,0,0,0,75,178,25,8
22,11,3,4,361,52,3,28,268519,93,0,1,1,1,0,4,80,172,27,8
28,11,4,4,291,31,12,40,268519,93,0,1,1,1,0,1,73,171,25,2
13,11,5,4,118,10,10,37,268519,93,0,1,0,0,0,0,83,172,28,2
23,11,2,4,118,10,10,37,268519,93,0,1,0,0,0,0,83,172,28,8
8,11,3,4,118,10,10,37,268519,93,0,1,0,0,0,0,83,172,28,8
23,11,3,4,225,26,9,28,268519,93,0,1,1,0,0,2,69,169,24,2
23,11,6,4,225,26,9,28,268519,93,0,1,1,0,0,2,69,169,24,2
26,11,6,4,369,17,12,31,268519,93,0,1,3,1,0,0,70,169,25,8
28,11,2,4,361,52,3,28,268519,93,0,1,1,1,0,4,80,172,27,2
18,12,6,4,179,22,17,40,280549,98,0,2,2,0,1,0,63,170,22,2
26,12,6,4,235,20,13,43,280549,98,0,1,1,1,0,0,106,167,38,8
18,12,2,4,233,51,1,31,280549,98,0,2,1,1,0,8,68,178,21,8
23,12,3,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,24,2
23,12,2,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,24,2
25,1,5,2,179,22,17,40,313532,96,0,2,2,0,1,0,63,170,22,2
25,1,6,2,179,22,17,40,313532,96,0,2,2,0,1,0,63,170,22,2
25,1,4,2,179,22,17,40,313532,96,0,2,2,0,1,0,63,170,22,2
10,1,5,2,289,48,29,49,313532,96,0,1,0,0,0,2,108,172,36,8
27,1,2,2,179,26,9,30,313532,96,0,3,0,0,0,0,56,171,19,2
18,1,3,2,155,12,14,34,313532,96,0,1,2,1,0,0,95,196,25,8
27,1,4,2,179,26,9,30,313532,96,0,3,0,0,0,0,56,171,19,2
13,1,4,2,289,36,13,33,313532,96,0,1,2,1,0,1,90,172,30,8
27,1,6,2,179,51,18,38,313532,96,0,1,0,1,0,0,89,170,31,2
13,2,3,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,8
1,2,4,2,248,25,14,47,264249,97,0,1,2,0,0,1,86,165,32,8
27,2,4,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
27,2,5,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
27,2,5,2,179,26,9,30,264249,97,0,3,0,0,0,0,56,171,19,2
28,2,6,2,225,15,15,41,264249,97,0,4,2,1,0,2,94,182,28,2
27,2,6,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
19,2,2,2,233,51,1,31,264249,97,0,2,1,1,0,8,68,178,21,2
27,2,2,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
7,2,3,2,225,26,9,28,264249,97,0,1,1,0,0,2,69,169,24,8
13,2,5,2,179,26,9,30,264249,97,0,3,0,0,0,0,56,171,19,2
23,2,6,2,179,22,17,40,264249,97,0,2,2,0,1,0,63,170,22,2
27,2,4,2,179,26,9,30,264249,97,0,3,0,0,0,0,56,171,19,2
27,2,4,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
13,2,5,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,8
27,2,6,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
27,2,2,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
7,2,2,2,225,26,9,28,264249,97,0,1,1,0,0,2,69,169,24,2
27,2,3,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
23,2,3,2,248,25,14,47,264249,97,0,1,2,0,0,1,86,165,32,2
25,2,3,2,225,26,9,28,264249,97,0,1,1,0,0,2,69,169,24,2
27,2,4,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
27,2,5,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2
25,2,6,2,235,16,8,32,264249,97,0,3,0,0,0,0,75,178,25,2
27,3,2,2,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,2
23,3,2,2,248,25,14,47,222196,99,0,1,2,0,0,1,86,165,32,2
27,3,4,2,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,2
27,3,5,2,225,26,9,28,222196,99,0,1,1,0,0,2,69,169,24,2
25,3,5,2,225,26,9,28,222196,99,0,1,1,0,0,2,69,169,24,2
19,3,2,2,361,52,3,28,222196,99,0,1,1,1,0,4,80,172,27,8
13,3,3,2,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,8
27,3,4,2,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,2
27,3,6,2,179,26,9,30,222196,99,0,3,0,0,0,0,56,171,19,2
13,3,2,2,248,25,14,47,222196,99,0,1,2,0,0,1,86,165,32,2
7,3,2,2,225,26,9,28,222196,99,0,1,1,0,0,2,69,169,24,8
27,3,3,2,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,2
23,3,4,2,289,36,13,33,222196,99,0,1,2,1,0,1,90,172,30,8
25,3,4,2,228,14,16,58,222196,99,0,1,2,0,0,1,65,172,22,2
27,3,4,2,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,2
23,3,6,2,179,26,9,30,222196,99,0,3,0,0,0,0,56,171,19,2
23,3,4,3,118,15,24,46,222196,99,0,1,2,1,1,0,75,175,25,8
13,3,2,3,179,26,9,30,222196,99,0,3,0,0,0,0,56,171,19,2
22,3,4,3,369,17,12,31,222196,99,0,1,3,1,0,0,70,169,25,8
13,4,2,3,225,26,9,28,246288,91,0,1,1,0,0,2,69,169,24,8
10,4,2,3,118,10,10,37,246288,91,0,1,0,0,0,0,83,172,28,8
19,4,3,3,361,52,3,28,246288,91,0,1,1,1,0,4,80,172,27,8
19,4,4,3,248,25,14,47,246288,91,0,1,2,0,0,1,86,165,32,8
13,4,5,3,189,29,13,33,246288,91,0,1,2,0,0,2,69,167,25,8
27,4,6,3,179,26,9,30,246288,91,0,3,0,0,0,0,56,171,19,2
16,4,3,3,179,22,17,40,246288,91,0,2,2,0,1,0,63,170,22,2
23,4,3,3,361,52,3,28,246288,91,0,1,1,1,0,4,80,172,27,2
10,4,4,3,118,10,10,37,246288,91,0,1,0,0,0,0,83,172,28,2
22,4,6,3,235,11,14,37,246288,91,0,3,1,0,0,1,88,172,29,8
27,4,6,3,179,26,9,30,246288,91,0,3,0,0,0,0,56,171,19,2
19,4,2,3,225,26,9,28,246288,91,0,1,1,0,0,2,69,169,24,8
27,4,6,3,179,26,9,30,246288,91,0,3,0,0,0,0,56,171,19,2
19,4,5,3,225,26,9,28,246288,91,0,1,1,0,0,2,69,169,24,8
14,4,5,3,118,13,18,50,246288,91,0,1,1,1,0,0,98,178,31,2
27,4,6,3,179,26,9,30,246288,91,0,3,0,0,0,0,56,171,19,2
22,5,2,3,235,11,14,37,237656,99,0,3,1,0,0,1,88,172,29,8
28,5,4,3,235,16,8,32,237656,99,0,3,0,0,0,0,75,178,25,2
26,5,4,3,235,20,13,43,237656,99,0,1,1,1,0,0,106,167,38,8
28,5,5,3,291,31,12,40,237656,99,0,1,1,1,0,1,73,171,25,2
14,5,5,3,225,15,15,41,237656,99,0,4,2,1,0,2,94,182,28,8
22,5,6,3,225,15,15,41,237656,99,0,4,2,1,0,2,94,182,28,8
27,5,6,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2
23,5,2,3,118,13,18,50,237656,99,0,1,1,1,0,0,98,178,31,2
27,5,4,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2
10,5,2,3,235,16,8,32,237656,99,0,3,0,0,0,0,75,178,25,8
22,5,4,3,291,31,12,40,237656,99,0,1,1,1,0,1,73,171,25,8
10,5,4,3,179,22,17,40,237656,99,0,2,2,0,1,0,63,170,22,8
10,5,5,3,330,16,4,28,237656,99,0,2,0,0,0,0,84,182,25,8
23,5,5,3,235,16,8,32,237656,99,0,3,0,0,0,0,75,178,25,2
28,5,5,3,291,31,12,40,237656,99,0,1,1,1,0,1,73,171,25,2
27,5,6,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2
7,5,2,3,361,52,3,28,237656,99,0,1,1,1,0,4,80,172,27,8
23,5,4,3,155,12,14,34,237656,99,0,1,2,1,0,0,95,196,25,2
25,5,6,3,179,22,17,40,237656,99,0,2,2,0,1,0,63,170,22,8
10,5,6,3,155,12,14,34,237656,99,0,1,2,1,0,0,95,196,25,8
7,6,4,3,118,15,24,46,275089,96,0,1,2,1,1,0,75,175,25,8
26,6,6,3,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,28,8
10,6,4,3,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,28,8
22,6,5,3,378,49,11,36,275089,96,0,1,2,0,1,4,65,174,21,8
19,6,6,3,233,51,1,31,275089,96,0,2,1,1,0,8,68,178,21,8
27,6,6,3,179,26,9,30,275089,96,0,3,0,0,0,0,56,171,19,2
13,6,5,3,179,26,9,30,275089,96,0,3,0,0,0,0,56,171,19,2
28,6,5,3,291,31,12,40,275089,96,0,1,1,1,0,1,73,171,25,2
22,6,5,1,233,51,1,31,275089,96,0,2,1,1,0,8,68,178,21,8
8,6,6,1,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,28,2
19,7,6,1,233,51,1,31,264604,93,0,2,1,1,0,8,68,178,21,2
6,7,2,1,228,14,16,58,264604,93,0,1,2,0,0,1,65,172,22,8
23,7,4,1,118,10,10,37,264604,93,0,1,0,0,0,0,83,172,28,2
22,7,4,1,361,52,3,28,264604,93,0,1,1,1,0,4,80,172,27,8
22,7,4,1,225,26,9,28,264604,93,0,1,1,0,0,2,69,169,24,8
14,7,3,1,289,36,13,33,264604,93,0,1,2,1,0,1,90,172,30,8
